epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
35,331.014,0.44456,0.5304,0.89378,0.88112,0.80201,0.90511,0.73133,1.02492,1.00179,1.50715,0.000473668,0.000473668,0.000473668
36,339.277,0.44574,0.52427,0.89888,0.87773,0.81572,0.9108,0.74329,0.97089,0.99515,1.46726,0.000466599,0.000466599,0.000466599
37,348.391,0.42878,0.51164,0.89128,0.88546,0.8184,0.91201,0.73915,1.04151,1.0077,1.4836,0.00045953,0.00045953,0.00045953
38,357.118,0.43282,0.50761,0.88919,0.89762,0.80455,0.9176,0.7395,0.99147,0.99437,1.452,0.000452462,0.000452462,0.000452462
39,365.425,0.425,0.50127,0.88844,0.87467,0.8289,0.91678,0.74977,0.99011,1.0142,1.44276,0.000445393,0.000445393,0.000445393
40,373.3,0.42582,0.49684,0.88668,0.93751,0.76935,0.91128,0.74606,0.99979,0.99574,1.44571,0.000438325,0.000438325,0.000438325
41,381.673,0.42304,0.50001,0.88713,0.87838,0.84668,0.92907,0.75366,1.00413,0.92241,1.4224,0.000431256,0.000431256,0.000431256
42,390.015,0.41156,0.48002,0.87939,0.94234,0.78433,0.92629,0.75143,0.98655,0.95039,1.41508,0.000424187,0.000424187,0.000424187
43,398.008,0.39568,0.47078,0.87242,0.90907,0.8282,0.919,0.75354,0.98903,0.96848,1.43748,0.000417119,0.000417119,0.000417119
44,405.911,0.40705,0.48039,0.87978,0.88125,0.83786,0.91788,0.75279,1.01729,0.95809,1.4652,0.00041005,0.00041005,0.00041005
45,414.455,0.41429,0.48809,0.88689,0.91886,0.8001,0.92526,0.75257,0.9804,1.01456,1.43723,0.000402982,0.000402982,0.000402982
46,422.81,0.42245,0.48914,0.8855,0.88897,0.84947,0.92498,0.75857,0.95246,0.91365,1.42282,0.000395913,0.000395913,0.000395913
47,431.926,0.40712,0.46774,0.87502,0.904,0.82159,0.91339,0.75034,0.96088,0.91589,1.43293,0.000388844,0.000388844,0.000388844
48,440.14,0.39846,0.47131,0.87777,0.8926,0.83917,0.91822,0.76996,0.90474,0.8601,1.38735,0.000381776,0.000381776,0.000381776
49,448.925,0.38637,0.45944,0.87478,0.91138,0.84914,0.93469,0.77225,0.92623,0.87462,1.38969,0.000374707,0.000374707,0.000374707
50,457.43,0.39791,0.46812,0.8783,0.90059,0.83431,0.92963,0.76998,0.93058,0.8588,1.39563,0.000367639,0.000367639,0.000367639
51,465.773,0.39028,0.45366,0.8717,0.88985,0.85821,0.93302,0.7767,0.93159,0.8595,1.40405,0.00036057,0.00036057,0.00036057
52,473.76,0.39667,0.45998,0.88033,0.89081,0.86589,0.9371,0.77054,0.96738,0.86272,1.42105,0.000353501,0.000353501,0.000353501
53,482.039,0.38598,0.44848,0.87175,0.91308,0.87027,0.932,0.76651,0.92945,0.85734,1.39049,0.000346433,0.000346433,0.000346433
54,490.049,0.39039,0.44954,0.87045,0.91568,0.86423,0.93965,0.78652,0.88269,0.82227,1.36945,0.000339364,0.000339364,0.000339364
55,498.466,0.39206,0.45024,0.87281,0.9223,0.87223,0.94432,0.78703,0.88859,0.81952,1.35395,0.000332296,0.000332296,0.000332296
56,506.519,0.38207,0.44582,0.87223,0.91271,0.86003,0.93977,0.79207,0.85447,0.81733,1.33922,0.000325227,0.000325227,0.000325227
57,514.534,0.38404,0.44957,0.87404,0.90002,0.86544,0.93859,0.78374,0.88023,0.81016,1.366,0.000318158,0.000318158,0.000318158
58,522.44,0.37619,0.43464,0.86955,0.91033,0.86827,0.94195,0.79207,0.8653,0.80439,1.35569,0.00031109,0.00031109,0.00031109
59,530.39,0.38617,0.44572,0.8774,0.91502,0.86906,0.94432,0.77832,0.91927,0.81835,1.36116,0.000304021,0.000304021,0.000304021
60,538.729,0.37285,0.43099,0.8671,0.89643,0.86586,0.93584,0.78095,0.86821,0.76313,1.32838,0.000296953,0.000296953,0.000296953
61,547.125,0.36235,0.41914,0.86576,0.912,0.87241,0.9462,0.78763,0.87623,0.7559,1.35445,0.000289884,0.000289884,0.000289884
62,555.882,0.36632,0.4237,0.86001,0.90381,0.87491,0.94615,0.79483,0.87514,0.75852,1.34425,0.000282815,0.000282815,0.000282815
63,564.278,0.35954,0.41526,0.8619,0.91202,0.87094,0.94305,0.7988,0.84335,0.77322,1.33589,0.000275747,0.000275747,0.000275747
64,572.438,0.36007,0.42533,0.86704,0.88535,0.86666,0.93285,0.78575,0.87953,0.80554,1.35984,0.000268678,0.000268678,0.000268678
65,580.659,0.36414,0.42008,0.86672,0.88996,0.87322,0.93779,0.79229,0.86477,0.80135,1.35718,0.00026161,0.00026161,0.00026161
66,589.204,0.3566,0.41829,0.86001,0.89557,0.86487,0.93995,0.78633,0.86174,0.78252,1.34583,0.000254541,0.000254541,0.000254541
67,597.166,0.36645,0.41677,0.87443,0.9132,0.87006,0.94157,0.79164,0.87064,0.77561,1.35548,0.000247472,0.000247472,0.000247472
68,605.987,0.35132,0.40943,0.85916,0.92625,0.85501,0.93844,0.78194,0.91182,0.82246,1.38612,0.000240404,0.000240404,0.000240404
69,614.375,0.34054,0.39639,0.8527,0.90381,0.87192,0.94097,0.79023,0.86979,0.82584,1.35045,0.000233335,0.000233335,0.000233335
70,623.122,0.3467,0.39798,0.8607,0.90038,0.89267,0.9481,0.79684,0.86277,0.75207,1.333,0.000226267,0.000226267,0.000226267
71,631.568,0.35101,0.40991,0.86471,0.90672,0.87446,0.94281,0.78921,0.88113,0.75071,1.34299,0.000219198,0.000219198,0.000219198
72,639.686,0.34486,0.40574,0.86269,0.9138,0.86516,0.94851,0.79572,0.85454,0.75307,1.33715,0.000212129,0.000212129,0.000212129
73,647.972,0.33771,0.38999,0.8535,0.92644,0.85379,0.94787,0.80198,0.84283,0.76203,1.32285,0.000205061,0.000205061,0.000205061
74,656.751,0.34295,0.39611,0.86472,0.91415,0.87585,0.951,0.7955,0.86192,0.75962,1.33031,0.000197992,0.000197992,0.000197992
75,665.28,0.33802,0.39333,0.86132,0.94346,0.86547,0.95023,0.7973,0.86598,0.7381,1.3331,0.000190924,0.000190924,0.000190924
76,674.246,0.33436,0.38928,0.85925,0.92523,0.87918,0.95252,0.80325,0.84064,0.7058,1.32998,0.000183855,0.000183855,0.000183855
77,682.94,0.3318,0.39142,0.85919,0.91865,0.87004,0.95113,0.8055,0.83783,0.70779,1.32,0.000176786,0.000176786,0.000176786
78,691.392,0.34141,0.39354,0.86206,0.90381,0.8894,0.95311,0.80658,0.83677,0.70669,1.32865,0.000169718,0.000169718,0.000169718
79,700.038,0.33144,0.38575,0.85714,0.91453,0.88952,0.95434,0.80542,0.84172,0.71876,1.3277,0.000162649,0.000162649,0.000162649
80,708.713,0.34218,0.39063,0.85949,0.92649,0.88525,0.95405,0.81011,0.85062,0.74162,1.31711,0.000155581,0.000155581,0.000155581
81,716.858,0.33372,0.38213,0.85364,0.91588,0.90214,0.95526,0.80895,0.83057,0.72429,1.30355,0.000148512,0.000148512,0.000148512
82,724.766,0.33653,0.38613,0.86031,0.91166,0.89221,0.95561,0.81699,0.81463,0.6855,1.30401,0.000141443,0.000141443,0.000141443
83,733.181,0.32989,0.38836,0.86295,0.92496,0.8833,0.95275,0.81421,0.81123,0.68431,1.28964,0.000134375,0.000134375,0.000134375
84,741.402,0.32224,0.37608,0.84843,0.91078,0.90458,0.95436,0.8159,0.81317,0.68567,1.29189,0.000127306,0.000127306,0.000127306
85,749.524,0.3217,0.37796,0.85959,0.93632,0.86852,0.95459,0.80912,0.8204,0.69305,1.28119,0.000120238,0.000120238,0.000120238
86,757.676,0.32853,0.37757,0.85622,0.92698,0.88257,0.95384,0.81482,0.8079,0.69011,1.28349,0.000113169,0.000113169,0.000113169
87,766.086,0.3354,0.38871,0.86014,0.92701,0.88333,0.95239,0.81367,0.81454,0.6982,1.2848,0.0001061,0.0001061,0.0001061
88,774.109,0.31515,0.36962,0.85242,0.92216,0.89449,0.95207,0.811,0.8126,0.69498,1.29019,9.90318e-05,9.90318e-05,9.90318e-05
89,782.825,0.32294,0.36973,0.8508,0.91737,0.88465,0.94987,0.8104,0.81746,0.69284,1.29053,9.19632e-05,9.19632e-05,9.19632e-05
90,790.687,0.31865,0.37471,0.86116,0.91568,0.89722,0.95217,0.81309,0.80743,0.67997,1.286,8.48946e-05,8.48946e-05,8.48946e-05
